session_id,frame_idx,mean_hand_speed,pause_ratio,progress_delta,reversal_count,retry_count,task_step_id,human_robot_distance,note
chico_s0,0,0.0,NA_fixture,0.0,NA_fixture,NA_fixture,0,1.482,raw fixture spotcheck
chico_s0,1,0.018860805921274947,NA_fixture,0.037037037037037035,NA_fixture,NA_fixture,0,1.466,raw fixture spotcheck
chico_s0,2,0.01850027026829608,NA_fixture,0.07407407407407407,NA_fixture,NA_fixture,0,1.45,raw fixture spotcheck
chico_s0,3,0.020459960899278377,NA_fixture,0.1111111111111111,NA_fixture,NA_fixture,0,1.431,raw fixture spotcheck
chico_s0,4,0.02296519105080556,NA_fixture,0.14814814814814814,NA_fixture,NA_fixture,0,1.412,raw fixture spotcheck
chico_s0,5,0.020500975586542215,NA_fixture,0.18518518518518517,NA_fixture,NA_fixture,0,1.395,raw fixture spotcheck
chico_s0,6,0.022652372944131038,NA_fixture,0.2222222222222222,NA_fixture,NA_fixture,0,1.374,raw fixture spotcheck
chico_s0,7,0.02016581265409357,NA_fixture,0.25925925925925924,NA_fixture,NA_fixture,1,1.358,raw fixture spotcheck
chico_s0,8,0.0,NA_fixture,0.2962962962962963,NA_fixture,NA_fixture,1,1.358,raw fixture spotcheck
chico_s0,9,0.0,NA_fixture,0.3333333333333333,NA_fixture,NA_fixture,1,1.358,raw fixture spotcheck
